date,ki_role,ki_role_other,ki_resident,ki_disp_status,ki_gender,region,district,settlement,settlement_nearest,settlement_other,site_name,locale,settlement_type,number_families,number_individuals,ki_keeps_record,males_0_1,females_0_1,males_1_4,females_1_4,males_5_17,females_5_17,males_18_59,females_18_59,males_60_over,females_60_over,children,adult_males,adult_females,elderly_males,elderly_females,,pop_idps,pop_refugees,pop_returning_idps,pop_returning_refugees,pop_host,idps_arrived,site_full,site_wall,site_expand,site_pathway,site_occupied,site_occupied_majority,camp_management,cm_agency,committees_onsite,women_representation,conflict_resolution,community_space,womens_space,,landowner,landowner_other,private_landowner,private_landowner_other,tenure_agreement,agreement_level,agreement_written,agreement_timed,agreement_expires,recognised_by_authority,rent_charged,rent_charged_other,past_flood,past_flood_date,eviction_three_months,idp_aoo_primary,idp_primary_left,idp_primary_left_other,idp_aoo_secondary,idp_secondary_left,,idp_secondary_left_other,idp_aoo_tertiary,idp_tertiary_left,unacc_minors,separated_children,child_hh,phys_disabled,mental_disabled,friction_host,friction_site,eviction_notice,security_risks,free_movt_men,night_light,physical_violence,security_provider,uasc_month,child_recruitment,shelter_types,,shelter_number,electricity,shelter_support,shelter_support_types,,shelter_support_types_other,shelter_lock,shelter_sleeping_sep,nfi_market_avail,nfi_market_distance,wood_collection,wood_distance,toilets_male,toilets_female,toilets_nondisag,bathing,toilets_male_func,toilets_female_func,toilets_nondisag_func,bathing_func,handwashing_toilets,toilets_lock,toilets_lit,toilets_dist,potable_water,potable_water_functioning,water_problems,damaged,dry,polluted,other33,water_problems_other,water_sources,water_sources_other,water_source_distance,water_avail_days,waste_disposal,food_distr,food_distr_freq,food_distr_last,food_market_avail,food_market_dist,food_source,health_avail,health_dist,impediments_othergroups,health_issues,,disease_outbreak,outbreak_last,outbreak_type,outbreak_other,school_avail,school_dist,school_type,nutrition_avail,nutrition_dist,nutrition_service,info_sources,,info_needs,info_sufficient,complaints_mechanism,primary_language,secondary_languages,,geopoint_latitude,geopoint_longitude,n_validation/reliable_ki,n_validation/supported_obs,,female_staff,health_birth,impediments_women,types_impediments,
43003,  Chairman,Chairman,yes,idp,male,banadir,mogadishu_kahda,NA-3807-Z08-001, , ,Dulqaad 2,peri_urban,planned_site,6370,19110,no, , , , , , , , , , ,15000,900,2500,310,400,6370,6370,0,0,0,0,5000,yes,no,yes,no,42767,42856,local_authority, ,residents womens,1,1,0,0,0,private, ,host, ,none, , , , ,no,goods_aid, ,no, ,no,lower_shabelle,conflict_community drought, ,bay,conflict_community drought,1, ,bakool,conflict_community drought,100,200,400,800,500,no,no,yes, ,yes,no,yes,nat_army,yes,no,buul timber_plastic,1,20120,no,no, , , ,no,no,no, ,yes,60,0,0,40,0, , ,40, ,no,no,no,no,yes,yes, , , , , , ,other,piped,5,7,daily,none, , ,yes,90,market,no, , ,cholera_awd malaria,1,yes,42826,cholera_awd, ,yes,5,quranic,no, , ,friends_family,1,food health water,no,no,somali_maay,somali_standard,2.0673749999999997 45.23362166666667 129.5 4.9,2.067375,45.23362167,yes,yes,yes, ,yes, , , 
43040,community_leader elder,,yes,hc,male,middle_shabelle,balcad,other,other,"Ceel Geelle,Horseed",Ceel Geelle,peri_urban,spontaneous_site,350,1551,no,,,,,,,,,,,825,154,483,35,54,0,75,0,0,0,275,50,yes,no,yes,no,41122,41426,residents,,residents,1,0,0,0,0,none,,,,,,,,,yes,no_rent,,no,,no,lower_shabelle,conflict_surrounding threats drought, ,hiraan,floods drought,0, ,,,15,9,13,35,0,,no,no,,yes,no,no,nat_police,no,no,buul wattle_daub cgi,1,425,no,no,,,,yes,yes,yes,15,no,,0,0,15,0,0,0,15,0,no,no,no,no,yes,yes,,0,0,0,0,,kiosk,,5,7,daily,none,,,no,,household,no,,,cholera_awd malaria diphtheria,1,no,,,,no,,,no,,,friends_family tv radio,1,health contact_aid,no,no,somali_standard,none,2.3684283333333336 45.37997 90.0 3.1,2.368428333,45.37997,,,,,yes,,,
43002,community_leader ,0,yes,idp,male,banadir,mogadishu_hawl_wadaag,other,other,Hodan,Dharyaale 1,urban,spontaneous_site,40,120,no, , , , , , , , , , ,50,20,30,10,10,40,40,0,0,0,0,0,yes,no,no,yes,40422,40452,community_leader, ,residents womens elder_meeting wash,1,1,1,1,0,private, ,business, ,informal,community, ,no, ,no,goods_aid, ,no, ,no,lower_shabelle,conflict_community drought, ,middle_shabelle,conflict_community drought,1, ,bay,conflict_community drought,0,2,5,1,0,no,no,no, ,yes,no,no,clan,no,no,buul,1,90,no,no, , , ,no,no,yes,15,yes,40,4,0,0,0,2, , , ,no,yes,no,no,no, , , , , , , , , ,15,7,daily,none, , ,yes,10,market,no, , ,none,0,no,42917,Measles,0,no, , ,no, , ,friends_family religious_leader,1,food water shelter other,no,no,somali_standard,somali_maay,2.0351076114754933 45.31827511924464 -19.338286354288556 4.0,2.035107611,45.31827512,yes,yes,yes, ,yes, , , 
43003,community_leader ,0,yes,return_idp,male,lower_juba,kismayo,SA-3801-J13-001, , ,Gubaan 1,urban,spontaneous_site,35,226,no, , , , , , , , , , ,96,20,79,18,13,35,0,0,35,0,0,6,yes,no,no,no,42186,42491,no_management, ,none,0,0,0,0,0,private, ,host, ,formal,community,verbal,no, ,no,cash, ,no, ,no, , , , , , , , , , ,2, ,4,7,no,no,no, ,yes,no,no,nat_police,no,no,buul cgi,1,40,no,yes,transitional nfis,0, ,yes,no,no, ,yes,360,0,0,2,0, , ,2, ,no,no,no,no,no, , , , , , , , , ,50,5,never,none, , ,yes,50,market,yes,30,no,malaria,0,no,42767,malaria, ,no, , ,yes,30,tsfp,religious_leader community_leader,0,food water shelter,no,no,somali_standard,somali_maay,-0.36614240766164563 42.546818507394796 -27.373063509913287 4.0,-0.366142408,42.54681851,yes,yes,yes,yes,yes,no, , 
43005,camp_manager ,0,no,hc,male,banadir,mogadishu_daynile,other,other,Dayniile,ABOOLE,urban,spontaneous_site,90,270,no, , , , , , , , , , ,150,40,60,10,10,90,90,0,0,0,0,15,no,no,yes,no,42826,42856,no_management, ,womens elder_meeting,0,1,1,0,0,private, ,host, ,none, , , , ,no,goods_aid,0,no, ,no,lower_shabelle,conflict_community drought, ,bay,conflict_community drought,1, ,bakool,conflict_community drought,0,15,0,1,0, ,no,no, ,yes,no,no,clan,no,no,buul,1,150,no,no, , , ,no,no,yes,10,no, ,0,0,1,0, , ,1, ,no,yes,no,no,yes,no,other,0,0,0,1,The water at this waterpoint is cut,tank_tap, ,15,5,never,none, , ,yes,10,household,no, , ,none,0,yes,42917,cholera_awd, ,no, , ,no, , ,friends_family radio,1,food health contact_aid water shelter market_prices,no,no,somali_standard,somali_maay,2.07143789 45.23840561 83.0 3.0,2.07143789,45.23840561,yes,yes,yes, ,yes, , , 
42992,community_leader ,0,yes,idp,female,bay,baidoa,NA-3802-W04-003, , ,Ya'iyokoyow,urban,spontaneous_site,190,600,no, , , , , , , , , , ,250,120,180,25,25,190,190,0,0,0,0,70,yes,no,no,no,41640,41671,no_management, ,residents,1,0,0,0,0,private, ,other,dnk,informal,community, ,no, ,no,no_rent, ,no, ,no,bay,drought, , , , , , , , ,8, ,2,2,no,no,no, ,yes,no,no,none,no,no,buul,1,303,no,no, , , ,no,no,no, ,no, ,16,15,0,0,16,15, , ,no,yes,no,no,no, , , , , , , , , ,10,7,never,none, , ,no, ,market,no, , ,none,0,yes,42826,cholera_awd, ,yes,1,primary,no, , ,religious_leader,0,food health water shelter,no,no,somali_maay,none,3.1387490707445975 43.67051742417122 439.44699519160986 4.0,3.138749071,43.67051742,yes,yes,yes,0,yes, , , 
43002,community_leader ,0,yes,idp,male,lower_juba,kismayo,SA-3801-J13-001, , ,Bas two,urban,planned_site,145,730,no, , , , , , , , , , ,420,90,150,20,50,145,145,0,0,0,0,20,yes,no,no,no,41283,41286,residents, ,womens elder_meeting,0,1,1,0,0,private, ,business, ,informal,community, ,no, ,no,no_rent, ,yes,42740,no,lower_juba,floods drought no_livelihoods, ,middle_shabelle,floods drought no_livelihoods,0, , , , ,5, ,5,1,no,no,no, ,yes,no,no,nat_police,no,no,buul tent,1,170,no,no, , , ,yes,no,yes,3,yes,4,0,0,20,0, , ,14, ,yes,yes,yes,no,yes,yes, , , , , , ,protected_well_nopump, ,1,7,weekly,none, , ,yes,3,market,yes,5,no,cholera_awd malaria polio,1,yes,42740,cholera_awd, ,yes,5,primary quranic,yes,6,sc otp micronutrient_supplementation,friends_family community_leader radio,1,food shelter,no,no,somali_standard,somali_maay mushunguli,-0.33867405692822705 42.56014886676587 -1.850618230331654 4.0,-0.338674057,42.56014887,yes,yes,yes,yes,no,no, , 
43001,community_leader ,0,yes,idp,male,lower_juba,kismayo,SA-3801-J13-001, , ,Tawakal 1,urban,spontaneous_site,50,200,no, , , , , , , , , , ,100,30,50,5,15,50,50,0,0,0,0,0,yes,no,no,no,42009,42012,residents, ,wash health education,0,0,0,1,1,local_authority, , , ,none, , , , ,no,no_rent, ,no, ,no,lower_juba,conflict_community drought no_livelihoods, ,lower_shabelle,conflict_community drought no_livelihoods,1, ,middle_juba,conflict_community drought no_livelihoods, ,10, ,4,2,no,no,no, ,yes,no,no,informal_sec,no,no,buul tent cgi,1,50,no,no, , , ,yes,no,yes,15,yes,60,0,0,15,0, , ,15, ,no,yes,no,no,yes,yes, , , , , , ,protected_well_nopump, ,4,7,daily,cash,monthly,42972,yes,5,market,yes,15,no,cholera_awd,1,yes,42738,cholera_awd, ,yes,20,primary quranic,yes,15,sc tsfp bsfp,friends_family radio,1,food,no,no,somali_standard,somali_sign,-0.3415487894728912 42.562243951787984 -16.667426499876207 4.0,-0.341548789,42.56224395,yes,yes,yes,yes,yes,no, , 
43003,camp_manager ,0,yes,idp,male,banadir,mogadishu_daynile,other,other,Kalkaal,Sarmaan1,urban,spontaneous_site,80,160,no, , , , , , , , , , ,60,30,40,5,25,80,80,0,0,0,0,30,yes,yes,yes,no,42767,42917,community_leader, ,elder_meeting,0,0,1,0,0,private, ,business, ,informal,community, ,yes,43132,yes,no_rent, ,no, ,yes,bay,drought no_livelihoods no_services, ,bakool,conflict_community floods drought no_livelihoods,1, ,middle_shabelle,threats floods drought no_livelihoods,3,7,1,7,1,no,no,yes, ,yes,no,yes,informal_sec,no,no,buul,1,120,no,no, , , ,no,no,yes,60,yes,30,0,0,0,0, , , , ,no, ,no,no,no, , , , , , , , , ,32,5,monthly,none, , ,yes,60,borrowing,no, , ,cholera_awd malaria,1,yes,42948,cholera_awd, ,no, , ,no, , ,religious_leader community_leader,0,food health contact_aid water shelter market_prices,no,no,somali_maay,somali_standard,2.071433441240774 45.23400574349599 97.81124013623919 4.0,2.071433441,45.23400574,yes,yes,yes, ,no, , , 
42992,gatekeeper ,0,yes,idp,male,bay,baidoa,NA-3802-X04-009, , ,ADC 4,urban,spontaneous_site,100,500,no, , , , , , , , , , ,280,80,100,20,20,100,100,0,0,0,0,0,no,no,yes,no,40916,40916,residents, ,residents womens,1,1,0,0,0,private, ,business, ,formal,family,verbal,no, ,yes,cash, ,yes,42740,no,bay,conflict_community drought, ,bakool,conflict_community drought,1, ,gedo,conflict_community drought, , ,10, , ,no,no,no, ,yes,no,no,nat_police, ,no,buul,1,100,no,no, , , ,no,no,yes,20,no, ,0,0,13,0, , ,8, ,no,yes,no,no,no, , , , , , , , , ,25,4,weekly,none, , ,yes,20,market,no, , ,malaria,0,yes,42381,cholera_awd, ,no, , ,no, , ,friends_family religious_leader,1,food security water shelter,no,no,somali_maay,somali_benaadir,3.09759867 43.63472701 431.0 5.0,3.09759867,43.63472701,yes,yes,yes, ,no, , , 
